id,適用日,職種,都道府県,労務単価
32,2015/02/01,橋りょう特殊工,千葉県,27200
33,2015/02/01,橋りょう塗装工,千葉県,27900
34,2015/02/01,橋りょう世話役,千葉県,30500
35,2015/02/01,土木一般世話役,千葉県,22700
36,2015/02/01,高級船員,千葉県,27600
37,2015/02/01,普通船員,千葉県,21700
38,2015/02/01,潜水士,千葉県,35700
39,2015/02/01,潜水連絡員,千葉県,25400
40,2015/02/01,潜水送気員,千葉県,25400
41,2015/02/01,山林砂防工,千葉県,25500
42,2015/02/01,軌道工,千葉県,42700
43,2015/02/01,型わく工,千葉県,22600
44,2015/02/01,大工,千葉県,
45,2015/02/01,左官,千葉県,24600
46,2015/02/01,配管工,千葉県,20500
47,2015/02/01,はつり工,千葉県,22500
48,2015/02/01,防水工,千葉県,26000
49,2015/02/01,板金工,千葉県,25000
50,2015/02/01,タイル工,千葉県,
51,2015/02/01,サッシ工,千葉県,23000
52,2015/02/01,内装工,千葉県,24700
53,2015/02/01,ガラス工,千葉県,22300
54,2015/02/01,建具工,千葉県,21800
55,2015/02/01,ダクト工,千葉県,20200
56,2015/02/01,保温工,千葉県,20700
57,2015/02/01,設備機械工,千葉県,21100
58,2015/02/01,交通誘導警備員A,千葉県,12600
59,2015/02/01,交通誘導警備員B,千葉県,10900
12,2015/02/01,特殊作業員,東京都,22000
13,2015/02/01,普通作業員,東京都,19200
14,2015/02/01,軽作業員,東京都,13700
15,2015/02/01,造園工,東京都,20100
16,2015/02/01,法面工,東京都,24400
17,2015/02/01,とび工,東京都,24600
18,2015/02/01,石工,東京都,24700
19,2015/02/01,ブロック工,東京都,
20,2015/02/01,電工,東京都,23600
21,2015/02/01,鉄筋工,東京都,24800
22,2015/02/01,鉄骨工,東京都,23200
23,2015/02/01,塗装工,東京都,25400
24,2015/02/01,溶接工,東京都,27200
25,2015/02/01,運転手（特殊）,東京都,21600
26,2015/02/01,運転手（一般）,東京都,17900
27,2015/02/01,潜かん工,東京都,26600
28,2015/02/01,潜かん世話役,東京都,31500
29,2015/02/01,さく岩工,東京都,24400
30,2015/02/01,トンネル特殊工,東京都,25200
31,2015/02/01,トンネル作業員,東京都,21800
32,2015/02/01,トンネル世話役,東京都,28700
33,2015/02/01,橋りょう特殊工,東京都,27000
